Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_70,VPWR,li1,37.9500,46.2400,1.799992
FILLER_12_57,VPWR,li1,32.2000,46.2400,1.799993
FILLER_12_29,VPWR,li1,19.3200,46.2400,1.799995
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.799995
FILLER_11_44,VPWR,li1,26.4500,40.8000,1.799997
FILLER_11_16,VPWR,li1,13.3400,40.8000,1.799996
FILLER_11_9,VPWR,li1,10.1200,40.8000,1.799996
FILLER_10_62,VPWR,li1,34.5000,40.8000,1.799996
FILLER_10_52,VPWR,li1,29.9000,40.8000,1.799996
FILLER_10_49,VPWR,li1,28.7500,40.8000,1.799996
FILLER_10_46,VPWR,li1,27.3700,40.8000,1.799997
FILLER_10_43,VPWR,li1,25.9900,40.8000,1.799997
FILLER_10_32,VPWR,li1,20.4700,40.8000,1.799997
FILLER_10_29,VPWR,li1,19.5500,40.8000,1.799997
FILLER_10_25,VPWR,li1,17.7100,40.8000,1.799997
FILLER_10_22,VPWR,li1,16.3300,40.8000,1.799997
FILLER_9_70,VPWR,li1,37.9500,35.3600,1.799998
FILLER_9_57,VPWR,li1,31.9700,35.3600,1.799998
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799998
FILLER_9_50,VPWR,li1,29.2100,35.3600,1.799998
FILLER_9_47,VPWR,li1,27.8300,35.3600,1.799998
FILLER_9_44,VPWR,li1,26.4500,35.3600,1.799998
FILLER_9_41,VPWR,li1,25.0700,35.3600,1.799999
FILLER_9_38,VPWR,li1,23.6900,35.3600,1.799999
FILLER_9_35,VPWR,li1,22.3100,35.3600,1.799999
FILLER_9_32,VPWR,li1,20.9300,35.3600,1.799999
FILLER_9_29,VPWR,li1,19.5500,35.3600,1.799999
FILLER_9_26,VPWR,li1,18.1700,35.3600,1.799998
FILLER_9_23,VPWR,li1,16.7900,35.3600,1.799998
FILLER_9_20,VPWR,li1,15.4100,35.3600,1.799998
FILLER_8_70,VPWR,li1,38.1800,35.3600,1.799998
FILLER_8_50,VPWR,li1,29.2100,35.3600,1.799998
FILLER_8_47,VPWR,li1,27.8300,35.3600,1.799998
