Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_104,VPWR,li1,53.5900,57.1200,1.799986
FILLER_17_101,VPWR,li1,52.6700,57.1200,1.799986
FILLER_17_98,VPWR,li1,51.2900,57.1200,1.799986
FILLER_17_95,VPWR,li1,49.9100,57.1200,1.799986
FILLER_17_85,VPWR,li1,45.3100,57.1200,1.799986
FILLER_17_83,VPWR,li1,43.9300,57.1200,1.799986
FILLER_17_77,VPWR,li1,41.6300,57.1200,1.799987
FILLER_17_72,VPWR,li1,38.8700,57.1200,1.799987
FILLER_17_69,VPWR,li1,37.9500,57.1200,1.799987
FILLER_17_66,VPWR,li1,36.5700,57.1200,1.799988
FILLER_17_63,VPWR,li1,35.1900,57.1200,1.799988
FILLER_17_57,VPWR,li1,32.2000,57.1200,1.799989
FILLER_17_55,VPWR,li1,31.0500,57.1200,1.799989
FILLER_17_51,VPWR,li1,29.2100,57.1200,1.799990
FILLER_17_48,VPWR,li1,28.2900,57.1200,1.799991
FILLER_17_29,VPWR,li1,19.0900,57.1200,1.799992
FILLER_17_23,VPWR,li1,16.3300,57.1200,1.799992
FILLER_17_16,VPWR,li1,13.1100,57.1200,1.799992
FILLER_17_9,VPWR,li1,9.8900,57.1200,1.799992
FILLER_17_6,VPWR,li1,8.9700,57.1200,1.799992
FILLER_17_3,VPWR,li1,7.5900,57.1200,1.799992
FILLER_16_104,VPWR,li1,53.5900,57.1200,1.799986
FILLER_16_54,VPWR,li1,30.8200,57.1200,1.799990
FILLER_16_51,VPWR,li1,29.6700,57.1200,1.799990
FILLER_16_48,VPWR,li1,28.2900,57.1200,1.799991
FILLER_16_25,VPWR,li1,17.7100,57.1200,1.799992
FILLER_16_3,VPWR,li1,7.5900,57.1200,1.799992
FILLER_15_97,VPWR,li1,50.3700,51.6800,1.799989
FILLER_15_88,VPWR,li1,46.2300,51.6800,1.799989
FILLER_15_85,VPWR,li1,45.3100,51.6800,1.799989
FILLER_15_57,VPWR,li1,32.2000,51.6800,1.799992
FILLER_15_29,VPWR,li1,19.3200,51.6800,1.799995
FILLER_15_26,VPWR,li1,18.1700,51.6800,1.799995
FILLER_15_23,VPWR,li1,16.7900,51.6800,1.799995
FILLER_15_12,VPWR,li1,11.5000,51.6800,1.799995
FILLER_15_3,VPWR,li1,7.3600,51.6800,1.799994
FILLER_14_91,VPWR,li1,48.0700,51.6800,1.799989
FILLER_14_88,VPWR,li1,46.6900,51.6800,1.799989
FILLER_14_85,VPWR,li1,45.3100,51.6800,1.799989
FILLER_14_81,VPWR,li1,43.4700,51.6800,1.799990
FILLER_14_78,VPWR,li1,42.0900,51.6800,1.799990
FILLER_14_75,VPWR,li1,40.7100,51.6800,1.799990
FILLER_14_72,VPWR,li1,39.3300,51.6800,1.799990
FILLER_14_56,VPWR,li1,31.5100,51.6800,1.799992
FILLER_14_53,VPWR,li1,30.5900,51.6800,1.799993
FILLER_14_50,VPWR,li1,29.2100,51.6800,1.799993
FILLER_14_32,VPWR,li1,20.7000,51.6800,1.799995
FILLER_14_29,VPWR,li1,19.5500,51.6800,1.799995
FILLER_14_27,VPWR,li1,18.1700,51.6800,1.799995
FILLER_14_24,VPWR,li1,17.2500,51.6800,1.799995
FILLER_14_21,VPWR,li1,15.8700,51.6800,1.799995
FILLER_14_18,VPWR,li1,14.4900,51.6800,1.799995
FILLER_14_15,VPWR,li1,13.1100,51.6800,1.799995
FILLER_14_9,VPWR,li1,9.8900,51.6800,1.799994
FILLER_14_6,VPWR,li1,8.9700,51.6800,1.799994
FILLER_14_3,VPWR,li1,7.5900,51.6800,1.799994
FILLER_13_88,VPWR,li1,46.6900,46.2400,1.799991
FILLER_13_85,VPWR,li1,45.3100,46.2400,1.799991
FILLER_13_82,VPWR,li1,43.9300,46.2400,1.799991
FILLER_13_79,VPWR,li1,42.5500,46.2400,1.799992
FILLER_13_76,VPWR,li1,41.1700,46.2400,1.799992
FILLER_13_66,VPWR,li1,36.5700,46.2400,1.799992
FILLER_13_63,VPWR,li1,35.1900,46.2400,1.799993
FILLER_13_60,VPWR,li1,33.8100,46.2400,1.799993
FILLER_13_57,VPWR,li1,32.4300,46.2400,1.799994
FILLER_13_54,VPWR,li1,30.8200,46.2400,1.799994
FILLER_13_27,VPWR,li1,18.4000,46.2400,1.799995
FILLER_13_24,VPWR,li1,17.2500,46.2400,1.799995
FILLER_13_6,VPWR,li1,8.9700,46.2400,1.799994
FILLER_13_3,VPWR,li1,7.5900,46.2400,1.799994
FILLER_12_103,VPWR,li1,53.3600,46.2400,1.799991
FILLER_12_85,VPWR,li1,45.0800,46.2400,1.799991
FILLER_12_82,VPWR,li1,43.7000,46.2400,1.799991
FILLER_12_69,VPWR,li1,37.4900,46.2400,1.799992
FILLER_12_66,VPWR,li1,36.5700,46.2400,1.799992
FILLER_12_63,VPWR,li1,35.1900,46.2400,1.799993
FILLER_12_59,VPWR,li1,32.8900,46.2400,1.799994
FILLER_12_56,VPWR,li1,31.9700,46.2400,1.799994
FILLER_12_53,VPWR,li1,30.5900,46.2400,1.799994
FILLER_12_50,VPWR,li1,29.2100,46.2400,1.799994
FILLER_12_47,VPWR,li1,27.8300,46.2400,1.799995
FILLER_12_44,VPWR,li1,26.4500,46.2400,1.799995
FILLER_12_41,VPWR,li1,25.0700,46.2400,1.799995
FILLER_12_38,VPWR,li1,23.6900,46.2400,1.799995
FILLER_12_35,VPWR,li1,22.3100,46.2400,1.799996
FILLER_12_32,VPWR,li1,20.9300,46.2400,1.799995
FILLER_12_29,VPWR,li1,19.5500,46.2400,1.799995
FILLER_12_25,VPWR,li1,17.7100,46.2400,1.799995
FILLER_12_22,VPWR,li1,16.3300,46.2400,1.799995
FILLER_12_3,VPWR,li1,7.5900,46.2400,1.799994
FILLER_11_84,VPWR,li1,44.6200,40.8000,1.799990
FILLER_11_81,VPWR,li1,43.4700,40.8000,1.799990
FILLER_11_71,VPWR,li1,38.6400,40.8000,1.799991
FILLER_11_68,VPWR,li1,37.4900,40.8000,1.799991
FILLER_11_57,VPWR,li1,32.4300,40.8000,1.799992
FILLER_11_46,VPWR,li1,27.1400,40.8000,1.799994
FILLER_11_43,VPWR,li1,25.9900,40.8000,1.799994
FILLER_11_31,VPWR,li1,20.2400,40.8000,1.799994
FILLER_11_28,VPWR,li1,19.0900,40.8000,1.799993
FILLER_11_15,VPWR,li1,13.1100,40.8000,1.799992
FILLER_11_12,VPWR,li1,11.7300,40.8000,1.799992
FILLER_10_91,VPWR,li1,47.6100,40.8000,1.799989
FILLER_10_88,VPWR,li1,46.6900,40.8000,1.799989
FILLER_10_85,VPWR,li1,45.3100,40.8000,1.799990
FILLER_10_69,VPWR,li1,37.7200,40.8000,1.799991
FILLER_10_66,VPWR,li1,36.5700,40.8000,1.799991
FILLER_10_63,VPWR,li1,35.1900,40.8000,1.799992
FILLER_10_60,VPWR,li1,33.8100,40.8000,1.799992
FILLER_10_44,VPWR,li1,26.4500,40.8000,1.799994
FILLER_10_41,VPWR,li1,25.0700,40.8000,1.799994
FILLER_10_38,VPWR,li1,23.6900,40.8000,1.799994
FILLER_10_35,VPWR,li1,22.3100,40.8000,1.799995
FILLER_10_32,VPWR,li1,20.9300,40.8000,1.799994
FILLER_10_29,VPWR,li1,19.5500,40.8000,1.799994
FILLER_10_26,VPWR,li1,17.9400,40.8000,1.799993
FILLER_10_11,VPWR,li1,11.0400,40.8000,1.799992
FILLER_9_97,VPWR,li1,50.6000,35.3600,1.799993
FILLER_9_74,VPWR,li1,39.7900,35.3600,1.799993
FILLER_9_71,VPWR,li1,38.8700,35.3600,1.799994
FILLER_9_68,VPWR,li1,37.4900,35.3600,1.799994
FILLER_9_65,VPWR,li1,36.1100,35.3600,1.799994
FILLER_9_48,VPWR,li1,27.8300,35.3600,1.799995
FILLER_9_30,VPWR,li1,20.0100,35.3600,1.799995
FILLER_9_27,VPWR,li1,18.6300,35.3600,1.799995
FILLER_9_3,VPWR,li1,7.3600,35.3600,1.799992
FILLER_8_103,VPWR,li1,53.3600,35.3600,1.799993
FILLER_8_100,VPWR,li1,52.2100,35.3600,1.799993
FILLER_8_97,VPWR,li1,50.8300,35.3600,1.799993
FILLER_8_81,VPWR,li1,43.4700,35.3600,1.799993
FILLER_8_78,VPWR,li1,42.0900,35.3600,1.799993
FILLER_8_75,VPWR,li1,40.7100,35.3600,1.799993
FILLER_8_72,VPWR,li1,39.3300,35.3600,1.799994
FILLER_8_69,VPWR,li1,37.9500,35.3600,1.799994
FILLER_8_66,VPWR,li1,36.5700,35.3600,1.799994
FILLER_8_63,VPWR,li1,35.1900,35.3600,1.799994
FILLER_8_60,VPWR,li1,33.8100,35.3600,1.799994
FILLER_8_52,VPWR,li1,29.6700,35.3600,1.799994
FILLER_8_49,VPWR,li1,28.7500,35.3600,1.799995
FILLER_8_36,VPWR,li1,22.3100,35.3600,1.799996
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799995
FILLER_8_24,VPWR,li1,17.2500,35.3600,1.799994
FILLER_8_21,VPWR,li1,15.8700,35.3600,1.799994
FILLER_8_18,VPWR,li1,14.4900,35.3600,1.799994
FILLER_8_15,VPWR,li1,13.1100,35.3600,1.799993
FILLER_7_102,VPWR,li1,53.1300,29.9200,1.799992
FILLER_7_70,VPWR,li1,38.4100,29.9200,1.799993
FILLER_7_67,VPWR,li1,37.0300,29.9200,1.799993
FILLER_7_57,VPWR,li1,32.2000,29.9200,1.799994
FILLER_7_46,VPWR,li1,27.1400,29.9200,1.799995
FILLER_7_35,VPWR,li1,22.3100,29.9200,1.799995
FILLER_7_32,VPWR,li1,20.9300,29.9200,1.799995
FILLER_7_29,VPWR,li1,19.5500,29.9200,1.799995
FILLER_7_26,VPWR,li1,18.1700,29.9200,1.799995
FILLER_7_20,VPWR,li1,15.4100,29.9200,1.799994
FILLER_7_12,VPWR,li1,11.2700,29.9200,1.799993
FILLER_6_92,VPWR,li1,48.3000,29.9200,1.799992
FILLER_6_82,VPWR,li1,43.7000,29.9200,1.799992
FILLER_6_79,VPWR,li1,42.5500,29.9200,1.799992
