Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_75,VPWR,li1,40.7100,46.2400,1.800000
FILLER_12_72,VPWR,li1,39.3300,46.2400,1.800000
FILLER_12_69,VPWR,li1,37.9500,46.2400,1.800000
FILLER_12_66,VPWR,li1,36.5700,46.2400,1.800000
FILLER_12_63,VPWR,li1,35.1900,46.2400,1.800000
FILLER_12_60,VPWR,li1,33.8100,46.2400,1.800000
FILLER_12_57,VPWR,li1,32.4300,46.2400,1.800000
FILLER_12_53,VPWR,li1,30.5900,46.2400,1.800000
FILLER_12_50,VPWR,li1,29.2100,46.2400,1.800000
FILLER_12_47,VPWR,li1,27.8300,46.2400,1.800000
FILLER_12_44,VPWR,li1,26.4500,46.2400,1.800000
FILLER_12_41,VPWR,li1,25.0700,46.2400,1.800000
FILLER_12_38,VPWR,li1,23.6900,46.2400,1.800000
FILLER_12_35,VPWR,li1,22.3100,46.2400,1.800000
FILLER_12_32,VPWR,li1,20.9300,46.2400,1.800000
FILLER_12_29,VPWR,li1,19.5500,46.2400,1.800000
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.800000
FILLER_12_24,VPWR,li1,17.2500,46.2400,1.800000
FILLER_12_21,VPWR,li1,15.8700,46.2400,1.800000
FILLER_12_18,VPWR,li1,14.4900,46.2400,1.800000
FILLER_12_15,VPWR,li1,13.1100,46.2400,1.800000
FILLER_12_12,VPWR,li1,11.7300,46.2400,1.800000
FILLER_12_9,VPWR,li1,10.3500,46.2400,1.800000
FILLER_12_6,VPWR,li1,8.9700,46.2400,1.800000
FILLER_11_75,VPWR,li1,40.7100,40.8000,1.799997
FILLER_11_72,VPWR,li1,39.3300,40.8000,1.799997
FILLER_11_69,VPWR,li1,37.9500,40.8000,1.799997
FILLER_11_66,VPWR,li1,36.5700,40.8000,1.799997
FILLER_11_63,VPWR,li1,35.1900,40.8000,1.799997
FILLER_11_60,VPWR,li1,33.8100,40.8000,1.799997
FILLER_11_57,VPWR,li1,32.4300,40.8000,1.799997
FILLER_11_55,VPWR,li1,31.0500,40.8000,1.799997
FILLER_11_52,VPWR,li1,30.1300,40.8000,1.799997
FILLER_11_25,VPWR,li1,17.7100,40.8000,1.799997
FILLER_11_11,VPWR,li1,10.8100,40.8000,1.799996
FILLER_11_7,VPWR,li1,8.9700,40.8000,1.799996
FILLER_10_75,VPWR,li1,40.7100,40.8000,1.799997
FILLER_10_57,VPWR,li1,32.2000,40.8000,1.799997
FILLER_10_54,VPWR,li1,31.0500,40.8000,1.799997
FILLER_10_51,VPWR,li1,29.6700,40.8000,1.799997
FILLER_10_44,VPWR,li1,26.4500,40.8000,1.799997
FILLER_10_41,VPWR,li1,25.0700,40.8000,1.799997
FILLER_10_26,VPWR,li1,17.9400,40.8000,1.799997
FILLER_10_15,VPWR,li1,12.6500,40.8000,1.799997
FILLER_9_77,VPWR,li1,41.1700,35.3600,1.799995
FILLER_9_54,VPWR,li1,30.8200,35.3600,1.799995
FILLER_9_47,VPWR,li1,27.8300,35.3600,1.799996
FILLER_9_44,VPWR,li1,26.4500,35.3600,1.799996
FILLER_9_41,VPWR,li1,25.0700,35.3600,1.799996
FILLER_9_38,VPWR,li1,23.6900,35.3600,1.799996
FILLER_9_29,VPWR,li1,19.0900,35.3600,1.799997
FILLER_9_26,VPWR,li1,18.1700,35.3600,1.799997
FILLER_9_23,VPWR,li1,16.7900,35.3600,1.799997
FILLER_9_3,VPWR,li1,7.3600,35.3600,1.799996
FILLER_8_76,VPWR,li1,40.9400,35.3600,1.799995
FILLER_8_64,VPWR,li1,35.4200,35.3600,1.799995
FILLER_8_48,VPWR,li1,28.0600,35.3600,1.799996
FILLER_8_40,VPWR,li1,24.6100,35.3600,1.799996
FILLER_8_37,VPWR,li1,23.2300,35.3600,1.799996
FILLER_8_29,VPWR,li1,19.0900,35.3600,1.799997
FILLER_8_25,VPWR,li1,17.7100,35.3600,1.799997
FILLER_8_22,VPWR,li1,16.3300,35.3600,1.799997
FILLER_8_19,VPWR,li1,14.9500,35.3600,1.799996
FILLER_8_16,VPWR,li1,13.5700,35.3600,1.799996
FILLER_8_13,VPWR,li1,12.1900,35.3600,1.799996
FILLER_8_10,VPWR,li1,10.8100,35.3600,1.799996
FILLER_7_72,VPWR,li1,39.1000,29.9200,1.799994
FILLER_7_69,VPWR,li1,37.9500,29.9200,1.799994
FILLER_7_66,VPWR,li1,36.5700,29.9200,1.799994
FILLER_7_63,VPWR,li1,35.1900,29.9200,1.799994
FILLER_7_60,VPWR,li1,33.8100,29.9200,1.799994
FILLER_7_57,VPWR,li1,32.4300,29.9200,1.799994
FILLER_7_39,VPWR,li1,23.9200,29.9200,1.799995
FILLER_6_52,VPWR,li1,30.1300,29.9200,1.799995
FILLER_6_49,VPWR,li1,28.7500,29.9200,1.799995
FILLER_6_46,VPWR,li1,27.3700,29.9200,1.799995
FILLER_6_39,VPWR,li1,24.1500,29.9200,1.799995
FILLER_6_36,VPWR,li1,22.7700,29.9200,1.799995
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799995
FILLER_6_23,VPWR,li1,16.7900,29.9200,1.799995
FILLER_6_13,VPWR,li1,11.7300,29.9200,1.799993
FILLER_6_7,VPWR,li1,8.9700,29.9200,1.799993
